नमस्कार तुमची ची जाहीरात इतकी कंटाळवाणी व त्रासदायक आहे की जाहिरात बघून असलेले ग्राहक…,not offensive,NULL,NULL
पोरी फिरवायला जर फंटर स्काॅलरशिपचे पैसे वापरत असतील तर अशांसाठी बाबासाहेनीच फाशीच कलम समाविष्ट करायला पाहीजे होतं..…,not offensive,NULL,NULL
२  ते साऱ्या जगाला माहित आहे. साल्यानी भुग्रहणासाठी शेतकऱ्याना आत्महत्या करायला लावल्या…,not offensive,NULL,NULL
आठवलं  चे ठेकेदार पूर्वी फार आक्रमक होते आता बघूया किती आक्रमक होतात. नाही झाले तर समजायचे ते समजून…,not offensive,NULL,NULL
कावळा शिवण्याला काय शास्त्राधार आहे? वाचा जयशंकर शर्मा यांचे उत्तर.,not offensive,NULL,NULL
सर तुम्ही माझे एक आदर्श कलाकार  होतात  .. तुमची अभिनयवर असलेली पकड म्हणजे उत्कृष्ट आहे.. तुम्हाला मा…,not offensive,NULL,NULL
वेगवेगळ्या ठिकाणी निवांत बसलेले. तोंडात सतत माऊली... पांडुरंग... अत्यंत हसतमुख आणि मुख्य म्हणजे समाधानी चेहरे. वाट…,not offensive,NULL,NULL
च्या तोंडात राम मंदिर अयोध्या बाबर अन् आता ही सोनिया सेना आहे. कळलं का ही मैना कुणाची अन् ही…,not offensive,NULL,NULL
भारताची पुरांतन बौद्धिक संपदा  थोर गाणितज्ञ व ज्योतिषी वराहमिहीर  ज्योतिषशास्त्राच्या अनेक शाखांवर ग्रंथलेखन करणा…,not offensive,NULL,NULL
स्वतः इंजिनेरिंग करून फसलेला माणूस दुसऱ्याला इंजिनेररिंग कर सांगतो म्हणजे🤔 बायको कशी आहे हे माहीत असून सुद्धा मित्राला…,not offensive,NULL,NULL
अरे लाचारा  तुमच्यावर ही अशी वेळ यायला हवी आणि दुसरे त्यावेळेस असेच हसले पाहीजे तुमच्या लायकीवर...…,not offensive,NULL,NULL
कसोटीमध्ये २७ मिनिटांत अर्धशतक करणारा बांगलादेशचा धुरंदर मोहम्मद अश्रफुलला वाढदिवसाच्या हार्दिक शुभेच्छा...   🥳🥳,not offensive,NULL,NULL
खेड्यापाड्यातील बौद्ध विहारांचे उद्‌घाटन केले. १९६८ साली मुंबई येथे धम्म परिषद भरविण्यात आली व प्रमुख पाहुणे म्हणून…,not offensive,NULL,NULL
बाळगू नका. ६) आपली प्रतिकारक्षमता किती चांगली आहे याचा दंभ मिरवू नका. ७) नम्र व्हा. महापुरे वृक्ष जाती तिथे लव्हाळी…,not offensive,NULL,NULL
गोलंदाजी  फलंदाजी  म्हणाल तिथे क्षेत्ररक्षण व यष्टीरक्षणसुद्धा करणारा खराखुरा ऑलराऊंडर,not offensive,NULL,NULL
ऑफिस तोडल म्हणून हसणाऱ्या mva च्या कार्यकर्त्यांनो आणि मुबईचा अपमान झाला म्हणून तिला मुंबईत येऊ देणार…,not offensive,NULL,NULL
आपली न्यायव्यवस्था एवढी सावकाश आहे की...खटला संपता संपता आयुष्य निघून जात. जस रात्रीच्या सगळ्या गो…,not offensive,NULL,NULL
पूर्व लडाखमधील मुखपरी येथे प्रत्यक्ष ताबारेषेजवळ सोमवारी जमलेले चिनी सैन्य. भाले  लोखंडी शिगा आणि अन्य श…,not offensive,NULL,NULL
xiaomi ने लॉन्च केला अजून एक स्वस्त स्मार्टफोन redmi 9at  यात मिळेल 5 000एमएएच ची मोठी बॅटरी…,not offensive,NULL,NULL
डॉ.बाबासाहेब आंबेडकर यांच्या संविधानामुळे आज एका आदिवासी माणसाने चालवणारा ट्रेड भारतात एक नंबरचा ट्रेड होणार आहे ही ताक…,not offensive,NULL,NULL
चार फॉलोअर्स जरी दर्जा विचारांचे असले तरी बस. बाकी गर्दी बऱ्याचदा विचारांना दाबण्याचे काम करते.,not offensive,NULL,NULL
आजच्या लेखात आपण गुंतवणूकदारांनी आवर्जून पाहावेत अशा स्टॉक मार्केटवर आधारित रंजक चित्रपटांबद्दल (stock market movie…,not offensive,NULL,NULL
float ह्या data type ला ऐच्छिक (optional) parameter असतो.. float (n)  n ची जी value अस…,not offensive,NULL,NULL
शत्रू मिळवणंही वाटतं तेवढं सोपं नसतं... त्यासाठी खूप  चांगली कामं  करावी लागतात..,not offensive,NULL,NULL
धुंद ह्रद्ययाची तारा तु अल्लाद छेडत रहा.. नकोच थांबु तु आता असाच पडत रहा.. नकोच समजावु काहीच तु तसाच फक्त कळत रहा…,not offensive,NULL,NULL
आयपीएलमध्ये गोलंदाजांसमोर असेल ‘हे  सर्वात मोठे आव्हान  मोहम्मद शमीने केला खुलासा,not offensive,NULL,NULL
बजाज ऑटोमध्ये २००८ साली 25 लाख गाड्यांचे उत्पादन झाले तेव्हा ९ ५०९ कामगार होते  तेच २०१२ मध्ये गाड्यांचे उत्पादन 43.5 लाखा…,not offensive,NULL,NULL
राग आणि अश्रू हे दोन्ही एकाच वेळी एखाद्या व्यक्तीवर तेव्हाच येतात जेव्हा आपल्याला त्या व्यक्तींची स्वतःहून जास्त का…,not offensive,NULL,NULL
ज्या महाराष्ट्र पोलिसांना आपण नावं ठेवलं त्याच पोलिसांनी तुम्हाला आज सुरक्षा दिली …,not offensive,NULL,NULL
लोक या घटनेवर तोंडात मीठाचा खडा धरून गप्प का बसले आहेत. कारण ही घटना भाजपा शासित राज्यात झाली नाही म्हणुन का?,not offensive,NULL,NULL
विमानतळावर आरपीआय  करनी सेना विरुद्ध शिवसेना कार्यकर्ते आमने सामने.,not offensive,NULL,NULL
कंगना आली आणि y+ सुरक्षा घेऊन मागच्या दाराने पळून गेली ये डर होना चाहीये,not offensive,NULL,NULL
शिस्तीत कार्यक्रम करणे काय असतं हे आज अनेकांना हक्कभंगावरून कळलं असेल,not offensive,NULL,NULL
…म्हणूनच चेतेश्वर पुजाराला आयपीएल लिलावात खरेदीदार न मिळण्याचे दु ख नाही,not offensive,NULL,NULL
बंबई नाही ते मुंबई आहे रे ते रताळ्यानों मुंबई म्हणायला लाज वाटते काय तुम्हाला? मुंबई महाराष्ट्राची राजधानी आहे आणि म…,not offensive,NULL,NULL
जोपर्यंत मराठी माणस सारख्या मराठीत सेवा न देणाऱ्या कंपन्यांच्या वस्तू खरेदी करण बंद क…,not offensive,NULL,NULL
हद्दीत घुसून दहशतवाद्यांचा खातमा…,not offensive,NULL,NULL
परवा माझी पाचव्या वर्गातील नात आर्याने निमित्त छान शिकवले आज तिचा वाढदिवस  मी शुभाषिश देतो  आपल्या सर्वां…,not offensive,NULL,NULL
अरे संज्या थांब थांब  च्यायला खाट आधीच कुरकुरतेय  आणखीन हग्रलेखांचे हातोडे नको घालूस..,not offensive,NULL,NULL
२०११ साली  राहुल द्रविडने आपल्या शेवटच्या एकदिवसीय सामन्यात इंग्लंड विरुद्ध ६९ धावांची खेळी केली होती. कारकि…,not offensive,NULL,NULL
आधी तुमच्या वर्तुळात आपल्या मातृभाषेचा चा सन्मान ठेवा  जो तो करतील त्यांच्याशी जरूर मैत्री ठेवा   जे लोक इत…,not offensive,NULL,NULL
सत्य नेहमीच कटू असतं आणि अंधभक्त अजूनही त्यावरून फुकट अजित पवार ह्यांना लक्ष्य करत बसतात व्हाट्सअप्प ग्रुप वर,not offensive,NULL,NULL
ज्या गोष्टी संसदेला सांगायच्याआहेत त्या सांगितल्याआणि lac भूभागात चीनने जो आक्रमकपणा व घुसखोरी के…,not offensive,NULL,NULL
मुलांना बोलतात रागवतात ते फक्त प्रेमापोटी आणि त्यांनी सुधारव यासाठी पण आजकालची मुलं एका सेकंदात वापस बोलतात…,not offensive,NULL,NULL
सर्वांनी हे ग्रंथ अवश्य खरेदी करा. राष्ट्र आणि धर्मरक्षणाचे उपाय. देशाची सद्यस्थिती पाहता हिंदुंवर अ…,not offensive,NULL,NULL
म्हशीच्या गळ्यातील घंटा सुशांत रिया  कंगना आलिया नेहरू पटेल  पाकिस्तान चीन।,not offensive,NULL,NULL
काही लोक स्वतःचेच म्हणणं मग चूक असलं तरी खरं करतात.... स्वतः इतकं हुशार कोणीच नाही हेच पटत नाही त्यांना... आशा लोकांकडे…,not offensive,NULL,NULL
भारतात ६०० तर जगभरात ७००० हेल्थकेअर वर्कर्सचा संसर्ग काळात झाला आहे. india today,not offensive,NULL,NULL
२०१४ साली महासत्ता होण्याची स्वप्न बघणारा आमचा युवक २०२० साली बेरोजगारी भत्ता मागू लागला. एवढा अनर्थ evm वरच्या एका बट…,not offensive,NULL,NULL
ही मराठी माणसाची एकजूट चं आहे की कंगना ह्या विषयावर महाराष्ट्र भाजप गप्प आहे  जास्त खळखळ नाही करत.. ज…,not offensive,NULL,NULL
फक्त सहकलाकरणीला जी साडीत फिरते तिला पॉर्नस्टार म्हणु शकते.,not offensive,NULL,NULL
च्यायला जोडीनं येणार हाय वय तु... बर आहे म ये पाऊस गेल्यावर.,not offensive,NULL,NULL
असो की यात राज्य सरकारला न्यायालयीन लढाईत अपयश आले आहे. फक्त भावनिक लढाई करून सहानुभूती…,not offensive,NULL,NULL
च्यायला सगळ्यांना धमक्या देणारे फोन चालू झाले काय... आता चिंधी चोरांना पण धमक्या येऊ लागल्या म्हणजे लॉक…,not offensive,NULL,NULL
करोनाविरोधातील लढ्यात मोठा धक्का  ऑक्सफर्डने थांबवली करोना लस चाचणी. भारतातही या लसीची चाचणी सुरु करण्यात आली होती.,not offensive,NULL,NULL
बघ म्हणजे जग…,not offensive,NULL,NULL
कोरोणा लवकर घालवायचा आहे असं वाटतंय देशाचे महत्वाचे मुद्दे पुढे आणायचे असतील आर्थिक स्थिती वगैरे तर सोशल मीडिया वर…,not offensive,NULL,NULL
तुमच्या एवढा घाबरणारा मुख्यमंत्री मी कधीच पहिला नाही. धर्मा पाटलाच्या गावाला जायच्या आधी तुम्ही त्यां…,not offensive,NULL,NULL
राष्ट्रभाषा म्हणत असाल तर तिला कडवं घेऊन खुशाल हिंडाव  बाकी महाराष्ट्र अन मराठीच...   मैंने बोल्या..च्यायला ढोल्या…,not offensive,NULL,NULL
कंगणाला जितकी प्रसिद्धी आणि महापालिकेच्या कारवाईने दिली तितकी सलग १२ ब्लॉकबस्टर चित्रपटांनीही मि…,not offensive,NULL,NULL
आज साक्षरता दिवस आहे आजच्या दिवशी तरी तुमची आनी पानी कोळशाची गोनी तुमच्या घालून ठेवा…,not offensive,NULL,NULL
आयपीएलच्या १३ व्या मोसमात या ३ सलामीच्या जोड्या यूएईमध्ये उभारणार धावांचा डोंगर?,not offensive,NULL,NULL
✍️ माझ्या ह्रदयातील स्पंदने तुझीच वाट पहात आहेत केव्हा येशील आयुष्यात माझ्या याचीच वाट पाहत आहे ओढ तुझ्या प्रेमाची आ…,not offensive,NULL,NULL
ची फाटली का ची कोणी सांगेल काय राव कोणाची फाटली.....,not offensive,NULL,NULL
आरक्षण ५ न्यायमूर्तींच्या घटनापिठाकडे वर्ग शैक्षणिक प्रवेशात व नोकरभरतीत आरक्षणाला स्थगीती   राज्य सरकारचे,not offensive,NULL,NULL
मनात असंख्य वेदनादायी प्रश्न त्यावर न मिळणारी उत्तरं असंख्य असे आक्रोश त्यावर न मिळणारा दिलासा,not offensive,NULL,NULL
मधमाशी नसेल तर प्राणवायू मिळणं बंद होईल.,not offensive,NULL,NULL
भाषावार प्रांतरचनेचा आग्रही पुरस्कार करणारा मराठवाडा नेहमीच अखंड महाराष्ट्रवादी राहिला. पण मराठवाड्याच्या वाट्याला नेहमी…,not offensive,NULL,NULL
मराठा आरक्षणाला स्थगिती  मात्र मागील वर्षीच्या शैक्षणिक प्रवेश ग्राह्य,not offensive,NULL,NULL
एकेकाळी तमाशा प्रधान फक्त मराठी सिनेमा होता आणि शेतीप्रधान देश ... आता सगळा देश तमाशा प्रधान झालाय..प्रत्येक गोष्टीचा त…,not offensive,NULL,NULL
गुलाबाच्या कळीला थांग नव्हता   ती अल्लड वाऱ्याच्या झुळकेला लाजून जायची . मनोमनी मंद काजव्याची लगबग तिच्यापाशी गुंतत होती…,not offensive,NULL,NULL
काय फेकलो मनमोहनसिंग यांची विकिपीडिया वाचन मग.... गरीब घरून शिक्षण घेवून स्वताच्या दमावर बन…,not offensive,NULL,NULL
माझे कुटुंब  माझी जबाबदारी मोहिमेवरून भाजप नेत्याचा मुख्यमंत्र्यांना टोलाhttps   t.co uhlwrhnkvc,not offensive,NULL,NULL
सुशांत बिहारचा रिया बँगलोरची कंगना हिमाचल प्रदेशची.. आणि भांडणं महाराष्ट्रात.. आरं कुठं नेऊन ठेवलाय महाराष्ट्र मा…,not offensive,NULL,NULL
हो आताही पाठिंबा द्यायला काही हरकत नाही.. तसही अर्णब आणि कंगना नि मुंबई आणि महाराष्ट्र पोलिसांचा अप…,not offensive,NULL,NULL
हुश्श..सुटका झाली... टाका आता बाहेर एकदाचा तो तोंडात धरून ठेवलेला मावा.. सांभाळून टाका आजूबाजूला ब…,not offensive,NULL,NULL
केंद्र सरकार ने नेमून दिलेल्या वकिलाने योग्य बाजू मांडली  राज्यला ते जमलं नाही  सिब्बल साहेबांसारखा व…,not offensive,NULL,NULL
सौंदर्याला नेहमीच  अपूर्णतेचा  अभिशाप असतो हे खरंच आहे.... गंधाविना फुललेली ही फुलं याचंच प्रत्यय आहेत....,not offensive,NULL,NULL
माननीय श्री गडकरी जी हे काय चालू आहे संपूर्ण भारतात हायवेवर मस्जिद दर्गे येतातच कसे लवकरात लवकर हा…,not offensive,NULL,NULL
आपल्या आई वडिलांच्या  भगीरथ  प्रयत्नांनंतर आपला जन्म झाला  तो देखील महाराष्ट्रात. राज्या…,not offensive,NULL,NULL
मुंबई महानगरपालिकेने जेवढ्या वेळात कंगना राणावत यांचे कार्यलयाचे अतिक्रमण काढले  तेवढ्याच वेळात मुंबईतील इतर अतिक्र…,not offensive,NULL,NULL
शिवबाला घडविणाऱ्या जिजाऊंचे तुम्हाला भान पाहिजे मुलींना शिकविणाऱ्या सावित्रीचे तुमच्या हृदयात स्थान पाहिजे जळली या समा…,not offensive,NULL,NULL
शब्द मनाच्या फांदीवर विसावा घेऊन झुलले की ख या अर्थाने शब्दातील अर्थाचा पिसारा फुलतो.पण मनाच्या फांदीवर जर पूर्वग्रह  द्वेष …,not offensive,NULL,NULL
विचारांच्या वादळात हरवलं की मनाचे प्रश्न मात्र अनुत्तरीत राहतात...,not offensive,NULL,NULL
सुप्रभात ट्विटरकरांनो.. मास्क वापरा  आपापसात अंतर राखा  काळजी घ्या❤️ sic.,not offensive,NULL,NULL
लडाखमध्ये भारत चीनच्या जवानांमध्ये पुन्हा संघर्ष?  भारतानं गोळीबार केल्याचा पीएलएचा आरोप. भारतानं वॉ…,not offensive,NULL,NULL
अर्णब वर हक्कभंग काय आणला …,not offensive,NULL,NULL
तुमचं म्हणजे अस आहे  उचलली जीभ लावली टाळ्याला.... देशाचे पंतप्रधान आदरणीय मोदीजी यांच्याबद्दल बोललं त…,not offensive,NULL,NULL
चांगल्या माणसांवर कधीही करू नका...  कारण गेली की तिचं बनत असतं...   टिप  …,not offensive,NULL,NULL
घ्या राउत ती तर pok बोली जे की हिंदुस्तान च आहे हे बेन मुंबई ला पाकिस्तान बोला आता काय रिप्लाई देता की तोंडा…,not offensive,NULL,NULL
भारतात ड्रग्स (गांजा  चरस व इतर) सेवन legal करावं का? गेले काही दिवस हेच ऐकत आहे म्हणून सहज विचारलं.,not offensive,NULL,NULL
बरं.. काही का असेना... पण तिने एखादं काम सांगावं आणि ह्याने करू नाही असं कधी होईल का? मग तो भलेही कसंबसं engineering नि…,not offensive,NULL,NULL
सुज्ञ मनुष्य जरी थोडे थोडे शुभ कर्म करीत राहिला तरी परिणामी तो चांगुलपणाने भरून जातो . १०. चंदन   धूप   कमळ   मधुमा…,not offensive,NULL,NULL
ध्येयाकडे जात असताना वेदना या काही काळ असतात पण  ध्येय साध्य केल्यानंतर मिळणारी कीर्ती अजरामर असते.   unknown…,not offensive,NULL,NULL
दादांनी किंवा करून शिक्षण सेवकांना नयाय द्या…,not offensive,NULL,NULL
आताच आलेल्या माहिती नुसार ... खाजपा मध्ये पागल झालेल्या मंदाचीं यादी ज़ाहिर झाली आहे.. (सत्ता नसल्या मुळे होणारे मं…,not offensive,NULL,NULL
सरकारने आणि मीडिया ने रिह्या  सुशांत आणि कंगना यांना जेवढं गांभीर्याने घेतला तितकंच राहुल गांधी ला घेतला असत तर थोडं का होई…,not offensive,NULL,NULL
जिवनात माणूस जेवढा कामाने थकत नाही  त्यापेक्षा जास्त विचाराने थकतो...,not offensive,NULL,NULL
का? कारण काय? कोणाच भल होणार? शेतकऱ्यांचे ? गरिबांचे? हा धक्का दणका कोणाला? यासाठी सरकार स्थापन केल? याचे समर्थक काय स्पष्टि…,not offensive,NULL,NULL
गेल्या काही वर्षात हवी तशी कामगिरी न करणाऱ्या मँचेस्टर युनायटेड संघाकडून येणाऱ्या २०२० २१च्या हंगामात काय अपेक्षा आ…,not offensive,NULL,NULL
इयत्ता ९ ते १२ वी वर्गात शिकणाऱ्या विद्यार्थ्यांना स्वच्छेने शिक्षकांच्या मार्गदर्शनखाली शाळेत जा…,not offensive,NULL,NULL
हे शेतकऱ्यांच्या पाचवी ला पुजलेले आहे. 2013 साली मोदी साहेबांनी स्वामीनाथन आयोग सत्तेत आल्यावर राबवण्याचं गाजर दाखव…,not offensive,NULL,NULL
स्वप्न थांबली की आयुष्य थांबते विश्वास उडाला की आशा संपते  काळजी घेणे सोडलं की प्रेम संपते म्हणून  स्वप्न पहा  विश्वास…,not offensive,NULL,NULL
खरंय.. आणि ह्या प्रकरणातला भाजपचा  आरडाओरडा  आणि मनसेची  शांतता  मराठी मतदार कधीच विसरणा…,not offensive,NULL,NULL
talented multi  talented मग येतात ऑनलाईन क्लासेस च्या विडीओ मध्ये filter शोधणा या मुली,not offensive,NULL,NULL
असेल ही पण आपली लोक एवढी मंद नाहीत की त्याना भाजप काय खेळ खेळत आहे ते समजतच नाही लोक खूप हुशार आहेत आ…,not offensive,NULL,NULL
प्रदर्शन...? कसले प्रदर्शन..? कुठे आहे प्रदर्शन..? वृत्तवाहिनी आहात  हिंदी शब्द जसेच्या तसे वापरून आपल्या अल्पबु…,not offensive,NULL,NULL
प्रेम ही एक अशी विचित्र गोष्ट आहे  जी दुर्बल व्यक्तीला मजबूत आणि मजबूत व्यक्तीला दुर्बल बनवू शकते..,not offensive,NULL,NULL
समस्त मराठा समाजाचे अभिनंदन  महाआघाडी सरकार  मराठ्यांचे सरकार..,not offensive,NULL,NULL
सुप्रभात... विचारांची दिशा बदला  दशा आपोआप बदलेल ⁠ ⁠,not offensive,NULL,NULL
मित्रांनो  एक लक्षात घ्या.. आता फक्त कार्यालय बरोबर नव्हते असं लक्षात आल्यावर बांधकाम तोडण्यात आलेले आहे पण अजून मु…,not offensive,NULL,NULL
कितीदा नव्याने तुला अठवावे डोळ्यांतले पाणी नव्याने वहावे  कितीदा झुरावे तुझ्याच साठी कितीदा म्हणावे तुझे गीत ओठी …,not offensive,NULL,NULL
मोदीची इज्जत नाही का त्याने सा आयुष्यभर काम क…,not offensive,NULL,NULL
सध्याची आर्थिक महामंदी अधिक धोकादायक आहे की 2014 आणि 2019 साली आलेली बौद्धिक महामंदी अधिक धोकादायक आहे? आर्थिक महा…,not offensive,NULL,NULL
केंद्र सरकारची मनमानी वृत्ती अंध भक्तांची वाढती श्रद्धा अन विरोधकांची निष्क्रियता बघता आणखी बरंच काही अस घडेल ज्या…,not offensive,NULL,NULL
च वाईट .... म,not offensive,NULL,NULL
ए अर्धवट  काय वटवट लावली आहेस उगाच? विदर्भात किती जिल्हे आहेत ते तरी माहित…,not offensive,NULL,NULL
कोथंबिरीतून 12 लाखांचे उत्पन्न मिळाल्याचा आहे हा फोटो...पण त्याची सत्यता आलीये समोेर... म https   t.co hxj66rmqsu,not offensive,NULL,NULL
नेत्रा डाऊ ताई तुम्ही भक्त आहात हे काय सांगायची गरज नाही. भाई वगैरे तुमचे असतील युपी बिहार वाले  आम्ही मराठा म्णसं…,not offensive,NULL,NULL
महाराष्ट्राचा सेवक कोण ?,not offensive,NULL,NULL
जे अनधिकृत असेल तर जरुर पाडाव. ‘किंबहुना  पाडलच पाहिजे. फक्त ते आत्ता अचानक ‘दिसल  हे धक्कादायक व लज्जास्पद आहे. प…,not offensive,NULL,NULL
३ अष्टपैलू खेळाडू जे आयपीएल २०२० मध्ये स्वतःला  फिनिशर  म्हणून करु शकतात सिद्ध,not offensive,NULL,NULL
जेव्हा तलाठी भरती थांबली होती... तेव्हा तुम्हाला खुप कॉन्टॅक्ट केले.... त्यावेळी तुमच्या…,not offensive,NULL,NULL
आणि म्हणून मनसे गप्प आहे का मुंबई च्या अपमानावर??,not offensive,NULL,NULL
१९३९ साली खोती पद्धत रद्द करून शासनाला कूळ कायदा बनविण्यास भाग पाडणारे आगरी समाजातील नेते नारायण नागो पाटील प्रकल्प…,not offensive,NULL,NULL
२०१४ साली तत्कालीन काँग्रेस सरकारने कांद्यावर निर्यातबंदी लागू केली असता भाजपने शेतकऱ्यांचा कैवार घेत…,not offensive,NULL,NULL
शाखेतल्या लोकांच्या तोंडात बाबासाहेब आंबेडकरांचा उद्घोष वाढल्याचं अजूनही कोणाला जाणवतंय का?,not offensive,NULL,NULL
सुचत नाही काही आज  फारस मनाला.... दिली आहे थोडी विश्रांती  आज मी स्वतःला....,not offensive,NULL,NULL
च्यायला,not offensive,NULL,NULL
म्हणलेले पंत मागे एकदा की साखर आणि चहापत्ति तोंडात टाकून सरळ शेगडीवर जाऊन बसतात ते. खरं असावं…,not offensive,NULL,NULL
अनधिकृत कामांवर कारवाई करायला राजकीय टीका करायची वाट का पहावी? पुढे कोणी दुसरा…,not offensive,NULL,NULL
फुलपाखराच्या सारखे जगणे हवे तर मग फुलपाखराइतकेच जगण्याची मुभा आहे,not offensive,NULL,NULL
xiaomi ने लॉन्च केला अजून एक स्वस्त स्मार्टफोन redmi 9at  यात मिळेल 5 000एमएएच ची मोठी बॅटरी,not offensive,NULL,NULL
करोनाविरोधातील लढ्यात मोठा धक्का  ऑक्सफर्डने थांबवली करोना लस चाचणी. भारतातही या लसीची चाचणी सुरु करण्यात आली होती.…,not offensive,NULL,NULL
ठाकरे औरगझेब याने मराठा समाजाच्या आरक्षणाचा अत केलं आहे...... अरे मु…,not offensive,NULL,NULL
व्वा   काय मस्त पलटी मारली   याचा अर्थ समजला का ? फा ट ली   त्याशि…,not offensive,NULL,NULL
रामराजे आणि राहुल दोघे सोडले  तर बाकी पत्रकारांनी धुनी भांडी विषयात डिप्लोमा केला आहे  असं वाटतं.,not offensive,NULL,NULL
माहिती आहे का महाराष्ट्रात पण लोकशाही जी…,not offensive,NULL,NULL
कोल्हापूरत जोरदार पाऊसाची सुरवात... कोल्हापूर,not offensive,NULL,NULL
श्रीमंत पेक्ष्या ज्ञानी बघा (म्हयनती)तो कधीही श्रीमंत होऊ शकतो .आणि श्रीमंत(उडानटप्पू)कधीही गरीब.इति सुशांत,not offensive,NULL,NULL
हो रे नकट्या. मग त्या अधिकारी पदावर काम केलेल्या थेरड्याला एवढी अक्कल असू नये कि घटनात्मक पदावरील…,not offensive,NULL,NULL
पौर्णिमेचे चांदणे  संगीताचे स्वर  आणि  गालावरील गुलाब  सारे कधीच वाहून गेले पण आज स्मृतिग्रंथाची पाने फडफ…,not offensive,NULL,NULL
मोदी सरकार विकणार २६ कंपन्या? मनमोहन सिंग सरकारच्या काळात किती विकल्या होत्या कंपन्या?,not offensive,NULL,NULL
मुख्यमंत्री बंगला दुरुस्ती साठी 11 कोटी आणि विदर्भ पूरग्रस्त लोकांसाठी 16 कोटी हीच का तुमची राज्या…,not offensive,NULL,NULL
lac वर चीन सोबत असलेल्या स्थितीवर रक्षा मंत्री च लोकसभेत संबोधन.. जेवढे सांगता येईल  तेवढे सांगितले. आता अश्यावेळी…,not offensive,NULL,NULL
गेले कित्येक दिवस झाले तुम्ही मराठी भाषेतील कार्यक्रम बंद केलेत(मराठी भाषा काढली आहे) इतर सर्व भाषा उपलब्ध…,not offensive,NULL,NULL
मोदीजी आल्यापासून बेरोजगारी वाढली. 2014 साली तुम्ही सगळे कलेक्टर होते.,not offensive,NULL,NULL
म्हणून ह्यावेळी त्या मराठी मतदारांना धडा शिकवण्यासाठी हात वर केलाय तर..,not offensive,NULL,NULL
उगाच बदनाम केला. इतकंच नाही तर ला आणि अ…,not offensive,NULL,NULL
इयत्ता ९वी ते १२वीच्या शाळा सुरु करण्यासंदर्भात केंद्रीय आरोग्य मंत्रालयाच्या मार्गदर्शक सूचना निर्गमित   maharasht…,not offensive,NULL,NULL
आम्ही तिकडे जन्माला नाही आलोय   शिवरायांच्या   शाहू  फुले   आंबेडकरांच्या संस्कारांची शिकवण हे म्हणून…,not offensive,NULL,NULL
इयत्ता 9 ते 12 वी वर्गात शिकणाऱ्या विद्यार्थ्यांच्या शाळा 21 सप्टेंबरपासून सुरू करण्यास केंद्रीय आरोग्य मंत्रालयाची…,not offensive,NULL,NULL
१६७२ साली छत्रपती शिवाजी महाराजांनी पोर्तुगीजांकडून हा किल्ला ताब्यात घेतला. पोर्तुगीजांचा अरबांशी इथून घोड्यांचा व्या…,not offensive,NULL,NULL
आज कंगणावर टीका करणारे हेच मराठीपत्रकार दिवसभर बॉलिवूड च्या बातम्या दाखवत असतात.महाराष्ट्रातले मुद्दे सोडून दिवसरा…,not offensive,NULL,NULL
कासीम रिझवी ला अटक करून नंतर जन्मठेपेची शिक्षा ठोठावली. मात्र एक अट होती की जर त्याला पाकिस्तानात जायची ईच्छा असेल…,not offensive,NULL,NULL
व्हायाकॉम१८ ची निर्मिती असणारे काही चित्रपट उद्यापासून नेटफ्लिक्सवर उपलब्ध होतायत...,not offensive,NULL,NULL
साहेब आपण विद्याविभुषित  वाक चातृर्य निष्णात आपले हे कलागुण विरोधी पक्षदेखील मानतो   दुर्देवाने आपले…,not offensive,NULL,NULL
एअर इंडिया रतन टाटा साहेब यांना देणेस काहीही हरकत नाही.एअर इंडिया रतन टाटा साहेब सांभाळत असताना नफ्या…,not offensive,NULL,NULL
अरे बांधायला तरी सुरुवात करा     च्यायला नुसत्या घोषणाच ऐकतोय गेली सहा वर्षे...,not offensive,NULL,NULL
गुलाबाच्या कळीला थांग नव्हता   ती अल्लड वाऱ्याच्या झुळकेला लाजून जायची . मनोमनी मंद काजव्याची लगबग तिच्यापाशी गुंतत…,not offensive,NULL,NULL
त्यामुळे परीक्षा होणार असल्या तरी विद्यार्थ्यांच्या गुणवत्तेची ‘परीक्षा  होणार का  असा प्रश्न उपस्थित झाला आहे.,not offensive,NULL,NULL
शिक्षकांचा ठरलेला dialogue आत्तपर्यंतची सर्वात फालतू बॅच तुम्ही आहे.,not offensive,NULL,NULL
शाहरूख खानच्या नाईट रायडर्स संघाला तिसऱ्यांदा ट्रॉफी पटकावण्याची संधी  तर…,not offensive,NULL,NULL
चिन्हां मधूनी अक्षरे  अक्षरे जुळता शब्द बनती वाक्यांशी ओळख वाढत जाता  माहिती ची द्वारे उघडती.  साक्षर…,not offensive,NULL,NULL
जगातला सर्वात मोठा विनोद,not offensive,NULL,NULL
पर्यावरण प्रेमींना तुरुंगात डांबून आरेची झाडे रात्रीत गुपचुप चोरां सारखी तोडणारे  दिवसा ढवळया झालेल्या अनधिकृत कार…,not offensive,NULL,NULL
जेवढं मी समजलो होतो आयुष्य त्या पेक्षा खूप लहान आहे. सुखाची वाट पहात झुरण्या पेक्षा प्रत्येक क्षणाचा आनंद घेत जगणे…,not offensive,NULL,NULL
अंडरवर्ल्ड मधे दाऊत... आणि महाराष्टात संजय राऊत...,not offensive,NULL,NULL
