Tweet,Level_A,Class,Level_C
पोरी पळव्या राम्या आईघाल्या तु सांगणार का अत्याचार कुणावर होतोय,Offensive,TIN,IND
अरे मुर्खा  आता संघात पूर्ण पँट असते. पण तुझ्या डोक्यात अजून चड्डीच आहे,Offensive,TIN,IND
तुजाईला माझा लवडा लई आवडतो  सारखा तोंडात ठेवते  तिच्या…,Offensive,TIN,IND
तुझ्या फावड्याला दाऊदची धमकी अली आहे मग तू काय घरात बसून गोट्या खेळतोयस. तुझ्या फाव…,Offensive,TIN,IND
बावळट   निर्लज्ज सडक्या मेंदूची पैदास  किड्याची औलाद आहे..,Offensive,TIN,IND
काही दिवसाने हा भिकारचोट लोकल ट्रेन्स मध्ये फाटक्या कपड्यात हेच हार्मोनियम घेऊन गाणार आहे. आता पासूनच practice चा…,Offensive,TIN,IND
जुमला कुमार संघटनेचे अध्यक्ष माननीय नरेन्द्र मोदी उर्फ फेकू उर्फ चहावाला उर्फ डिग्रीमास्टर गाटार मधून गॅस उत्पादन…,Offensive,TIN,IND
अरे काय हनिमूनला गेली आहे का ती? भिकारचोट पत्रकारिता...,Offensive,TIN,IND
बकचोद विंग जेथे बकचोद करतेस का? निर्लज्ज बाई आहे तु.... मुर्ख चांडाळी गप्प तोंडात बो.. घाल,Offensive,TIN,IND
तिकडं त्याच्या तोंडात लॉलीपॉप देतात,Offensive,TIN,IND
काजल गेली घड्डयात . तुझे शब्द वाचून लवडा ताठ झाला,Offensive,TIN,IND
दळभद्री. बाबासाहेब आंबेडकर. आणि दादासाहेब फाळके.,Offensive,TIN,IND
निर्लज्ज आहे तो ... त्याला किती टोचा .... तरी म्हणेल लाल माझाच बोचा....,Offensive,TIN,IND
तुजाईचे झाट लई मोठे झ्हाले होते  शेवटी कटिंग वाला बोलाव…,Offensive,TIN,IND
महाराष्ट्रात रिपब्लिक चॅनलला बंदी म्हटल्यावर आता ह्या ठर्कीच्या गोट्या फिट करणे सोपे झाले... अब आयेगा मजा .. बकरे…,Offensive,TIN,IND
मला नेहमी वाटायचं हिच्याशी लग्न करून big b नी चूक केली  तिने मला खरं ठरवलं आज. बुटकी साली हिची काहीच लाय…,Offensive,TIN,IND
गपरे चुत्या तूला कोण बोलला माझ्या tweets मध्ये येऊन तुझी निजव असा झाटू तुझ्या सारख्या नपुसकाला झाट…,Offensive,TIN,IND
काय रे आई झावाड्या हिजड्या हॉटेल ला काय धंदा करतो का मादारचोद. तुझा नंबर दे भ…,Offensive,TIN,IND
करे कवडीच्या भिकारी लाळचाट्या . भडव्या तू आला पहिले माज़्या ट्वीट वर ... भोस्डीच्या .. तुझ्या बापने…,Offensive,TIN,IND
bjp चा बोचा चाटत बस तू,Offensive,TIN,IND
तुझा बाप मी आहे भाडखाऊ  त्याला सोड तुझी आय मी…,Offensive,TIN,IND
संजय राऊत आईघाल्या आहे शिवसेना चा eunuch आहे... मालक बनायला निकाला कुत्रा शिवसेना तर सोनिया रांडेचे पायचाटे बन्दे बाळा…,Offensive,TIN,IND
मूर्खा मराठी सिनेमावर लिहिलंय त्यात बापाचा सम्बन्ध नाही कळतंय मग विचारतोस कशाला ? माझ्या बापाच्या पगाराशी…,Offensive,TIN,IND
बाळासाहेबांचा बाळ्या बावळट निघाला,Offensive,TIN,IND
घे तोंडात,Offensive,TIN,IND
महाराष्ट्राला कोरोना नाही कंगना हा रोग लागलाय त्यात महाराष्ट्रातले दळभद्री राजकारणी लोकं त्या चुतीया कंगनाची बाजू…,Offensive,TIN,IND
तिला तोंडात मोठा काळा चोकोबार मिळाला दिसतोय....,Offensive,TIN,IND
रांड दिप सुव्वरदेसाई,Offensive,TIN,IND
मुद्दामहून थुकत बसला  ते पण दोस्तांना बोलवून म्हणुन झाट शिलगली,Offensive,TIN,IND
माझा हंटर चांगलाच घुसलाय आईच्या पुच्चीत तुझ्या  कशी खवळली रांड लगेच,Offensive,TIN,IND
तोंडात घे,Offensive,TIN,IND
तुझे कागद पत्र काढून ठेव आधी गद्दार पाकिस्तानी मानसा.,Offensive,TIN,IND
अरे भडव्या आधी स्वताच बग तू आमच्यावर टीका फेक अकाउंट काढून करतो यावरून तुजी लायकी काय आ…,Offensive,TIN,IND
भडवा है   हा लढा कधी संपणार नाही. मी एकटा जरी उरलो तरी   माणसांनो उतरा रस्त्यावर आणि दाखवा,Offensive,TIN,IND
मूर्खा अजून दंड ठोठावलेला नाही  जरा वाचत जा मंदभक्ता,Offensive,TIN,IND
तुझ्या आईची गांड...भाडखो मादरचोद.... चुतीया साला..हरामखोर की पैदाईश...,Offensive,TIN,IND
कोर्टाने ला स्थगिती दिली आहे. तुमचे ज्येष्ठ विधीज्ञ परमजीतसिंग पटवालिया कोर्टात गोट्या खेळायला जात होते काय?…,Offensive,TIN,IND
राम कदम वागण्यात चुकले नाहीत  तर बोलण्यात चुकले..    भाजपा मग अजित दादा तरी काय तोंडात मुतले होते का…,Offensive,TIN,IND
या बावळट पेक्षा बाबड्या बरा,Offensive,TIN,IND
मी पुन्हा येईन असं जोक मारणारा गोट्या कुठे गेला तुमचा?,Offensive,TIN,IND
ये गपे भिकारचोट,Offensive,TIN,IND
आईघाल्या तुझ्या बापाची तर नक्कीच नाही,Offensive,TIN,IND
हा मग ते तुजी मानसिकता तशी बावळट झाली आहे त्या मुळे…,Offensive,TIN,IND
एकच मंद गोपीचंद असेल हो ते,Offensive,TIN,IND
तुम्हाला जास्त कळतं वाटतं. सोनिया समोर कधी झुकलेत ??? सत्ता समीकरण ला तुम्ही झुकले…,Offensive,TIN,IND
अरे दळभद्री ४० पैसे राजाच्या बिनडोक माणसा.. गुजराथांच्या चपला पुस फक्त पण तुझी लायकी नाही मराठी कला…,Offensive,TIN,IND
नेव्हीतील रितारमेन्ट नंतर कोणता आयटी सेल जॉईन केला होता का रे बावळट माणसा,Offensive,TIN,IND
तुज्या सारख्या च्युते महाराष्ट्र तील नसतील  आम्ही महाराष्ट्र तील लोक हिंदी ला सुद्धा मान…,Offensive,TIN,IND
तुझी गांड बगतोय घोडी झाल्यावर लंड तुझ्या भोकात टाकायला कीती मस्त वाटत असेल हे ना,Offensive,TIN,IND
अरे भडव्या औरंग्याचे वंशज तुम्ही. जेव्हा मुघलांनी तुमच्यावर अत्याचार केले तेव्हा ए…,Offensive,TIN,IND
तु बावळट झालाय का रे .…,Offensive,TIN,IND
अरे अडाण्या  जरा बाबासाहेब आंबेडकरांनी लिहिलेलं वाच (वाचता येत असेल तर). स्वतः…,Offensive,TIN,IND
एक मंद बीबीसी मधून हकलाऊन दिलाय म्हणतात,Offensive,TIN,IND
हा माहीत करून घे ना मग. बावळट आहेस काय ??,Offensive,TIN,IND
च्यायला १ चित्रपट काय केला  झाडावर चढले बुवा तुम्ही।,Offensive,TIN,IND
तुझी पुच्ची लय मोठी झाली असील ना आता रोज किती घेते कोणाला माहीती।,Offensive,TIN,IND
तुम्ही 5 वर्ष गोट्या खेळत होता का . बांगड्या भरलेल्या काय?,Offensive,TIN,IND
तोंडात घे तू  प पान,Offensive,TIN,IND
च्यायला ह्यांच् वेगळा सुरु आहे एडझवे कुठले 🤣,Offensive,TIN,IND
अरे भिकारचोट कुलकरण्या 5 वर्ष भाजपचे सरकार असताना त्यानी काय केल ते पण साग ना तुझ्या घरात एकद मुलं जन्माला आलं तर…,Offensive,TIN,IND
तोंडात घे भडव्या माझा. अंध मंद भक्त अस…,Offensive,TIN,IND
भोसडीच्या तुझ्या आईचा मी नवरा आहे. तुझ्या आईची गांड बघ. मागून गांड मारून मारू…,Offensive,TIN,IND
साहेबांनी एकदा का पाण्या ऐवजी दगडाने बोचा घासायला लावलं की आम्ही डोळे मिटायला मोकळे...🤣🤣🤣,Offensive,TIN,IND
हरामी रांड आहे तू भेट तुझ्या मयला कंगना हरामी बराची औलाद,Offensive,TIN,IND
Tweet,Level A,Level B,Level C
पूर्व लडाखमधील मुखपरी येथे प्रत्यक्ष ताबारेषेजवळ सोमवारी जमलेले चिनी सैन्य. भाले  लोखंडी शिगा आ…,not offensive,NULL,NULL
कोणत्याही succesful रिलेशनशिप मध्ये सुंदर दिसणं खूप महत्वाचं असतं...? 🤐🤐,not offensive,NULL,NULL
भारत 15 ऑगस्ट 1947 ला स्वतंत्र झाला आणि त्यानंतर तब्बल 2.5 वर्षांनी म्हणजे 26 जानेवारी 1950 साली भारताला राज्यघ…,not offensive,NULL,NULL
स्वत ला हवा तसा बाइट किंवा प्रतिक्रिया घेण्यासाठी ॲन्करबाई किती हट्टाला पेटलीय. जोरजबरदस्तीने तोंडात वाक्य घुसवतेय.,not offensive,NULL,NULL
5 व्या नंबरची अर्थव्यवस्था आहे भारताची जगात 2014 पर्यंत.... चंप्या  आता पण 5 वर आहे... अण…,not offensive,NULL,NULL
राज्यात हळद संसोधन व प्रकिया निश्चित करण्यासाठी लोकसभा सदस्य हेमंत पाटील यांच्या अध्यक्षतेखाली ‘अभ्यास समिती  गठीत…,not offensive,NULL,NULL
२०१४ साली महासत्ता होण्याची स्वप्न बघणारा आमचा युवक २०२० साली बेरोजगारी भत्ता मागू लागला. एवढा अनर्थ evm वरच्या एका…,not offensive,NULL,NULL
मॅट्रीकमध्ये चांगले गुण मिळाल्याने पुण्याच्या फग्र्युसन कॉलेजमध्ये प्रवेश त्यांना स्कॉलरशिपसह मिळाला. पुढे पुण्या…,not offensive,NULL,NULL
राजसाहेब ठाकरे हे नेहमीच आपल्या माणसाला सजग करत असतात. आज  काही महाभाग जागे झाले व म्हणत आहेत   सरकारी नोकऱ्या उर…,not offensive,NULL,NULL
हिंदी च्या मोहापायी मुख्यमंत्रीपद गेलंय.. तरी ती हिंदी सोडवत नाही..🤦आणि सुधारला नाही तर विरोधी पक्षनेते पद जायला वे…,not offensive,NULL,NULL
मायची कटकट  लई घाण शिवी आलीय तोंडात ही news बघून  पण सोशल मीडिया चा रिस्पेक्ट म्हणून देत नाहीय.... …,not offensive,NULL,NULL
मग चला सुरू करूया    मी पाहिलं वाक्य टाकतो     काळोख  थोडा सा पाऊस  मंद वारा  आत्ताच पुन्हा दिसला  ना…,not offensive,NULL,NULL
स्ञी वर्गाचा मान राखला पाहिजे ती आपल्या माता आणि बहिणी समान आहे हि छञपती शिवरायांची संपुर्ण हिंदवी स्वराज्यातील…,not offensive,NULL,NULL
तुम्हाला माहिती आहे का ? शंतनू ला बरे नसतानाही तो आज दिवसभर ट्विटर वर नोकरी च्या पोस्ट टाकतो आहे ? आपल्या भल्यासाठी कोणी मेहन…,not offensive,NULL,NULL
देशाच्या नव्या संसदेचे बांधकाम टाटा करणार टाटा प्रोजेक्ट लिमिटेड ची निविदा सर्वात कमी किमतीची ठरली देशातल्या 3 ना…,not offensive,NULL,NULL
तुमच्या तोंडात साखर पडो,not offensive,NULL,NULL
मराठ्यांनो कळालं का आता कोण तुमचा विचार करतो ते???,not offensive,NULL,NULL
jio ला आव्हान देण्यासाठी airtel देत आहे स्वस्त प्लान मध्ये अनलिमिटेड डेटा आणि कॉलिंग  जाणून घ्या तुमच्यासाठी कोणता…,not offensive,NULL,NULL
क्रेडिट कार्ड कर्ज लवकरात लवकर फेडून त्यामधून सुटका करून घेणे आवश्यक आहे. कारण या कर्जासाठी वारेमाप रक्कम आपण व्याजाच्या…,not offensive,NULL,NULL
भाजप हि मराठी अस्मितेची सर्वात मोठी शत्रू आहे हे भाजप च्या नेते आणि समर्थकांच्या बोलण्यावरून सिद्ध होतं.,not offensive,NULL,NULL
मराठी कलाकार म्हणतात की मराठी चित्रपटासाठी प्रेक्षक नाही  पण मराठी कलाकार स्वतः दर वर्षी अवॉर्ड शो मध्ये हिंदी गा…,not offensive,NULL,NULL
प्रत्येक व्यक्ति सुंदर असतो... ~ काही मनानी ~ काही चेहर्‍यानी ~ काही insta फिल्टरनी ~ काही vivo oppo नी,not offensive,NULL,NULL
आमच्या आवडत्या नेत्यावर कोणी साधी टीका जरी केली तरी आमचं रक्त खवळत  आम्ही चवताळून उठतो. पण आमच्या महापराक्रमी निर्व्यसनी…,not offensive,NULL,NULL
आयुष्य खूप सोपं आहे आपण ते विनाकारण अवघड करुन ठेवतो...,not offensive,NULL,NULL
सुशिक्षित माणूस सुसंस्कारित असेलच असे नाही......,not offensive,NULL,NULL
हे काय होत मग ?? हे 2016च आहे. माझ्या माहितीप्रमाणे 2016 ला महाराष्ट्राचे मुख्यमंत्री देवेंद्र फडणवीस…,not offensive,NULL,NULL
भारतीय रेल्वेच्या roro सेवेबद्दल तुम्हाला किती माहिती आहे?,not offensive,NULL,NULL
दाऊद कडून कॉल आल्यानंतर उद्धव ठाकरे स्वतःच्या घरातून गायब झाला. एकही शिवसैनिक पहारेकरी म्हणून मा…,not offensive,NULL,NULL
बंगाली ची अस्मिता मराठी नेते ठाकरे परिवार सोबत दुखवत आहे तसेच करिश्मा भोसले ला…,not offensive,NULL,NULL
घरी एखादी भाजी चांगली झाल्यावर... 🇦🇺   wow this is so tasty. 🇮🇳   एकदम हॉटेल सारखी झाली ए भाजी  वाटतच नाय घरी बनवली ए.…,not offensive,NULL,NULL
इतर भाषांमधे सेवा देता मग मधे का नाही स्टार स्पोर्ट मराठी पुन्हा चालू करा.,not offensive,NULL,NULL
डॉक्टर्सची कमतरता..,not offensive,NULL,NULL
तो काळ जुना होता.. आता 2.0 version आहे.. आता काही मुंबई मराठी वैगेरे मुद्दे नाहीत.. आता…,not offensive,NULL,NULL
आम्हाला चालेल  तुम्ही डांग…,not offensive,NULL,NULL
समाजहितासाठी काच फोडल्या तर अटक  बाकी पक्षांच्या कार्यकर्ते ह्यांनी तिकिटासाठी काचा फोडल्या तर गप्प .. नक्की वाचा,not offensive,NULL,NULL
कुठे तरी पाहिल्यासारखा वाटल सिन.मग आठवला चित्रपट  किमान इंग्रजी चित्रपटातील आयडीया घ्यायची pr वाले काहीच मेहनत घेत ना…,not offensive,NULL,NULL
अरे मुर्खा निर्यात वाढली की शेतकरी ला पैसे मिळतीलच,not offensive,NULL,NULL
मृत्यूपत्र करताना कायदेशीर बाबींच्या पूर्ततेपेक्षाही कठीण काम असतं ते मालमत्तेच वर्गीकरण आणि विभाजन. काही मालमत्ता…,not offensive,NULL,NULL
लै भारी काम हॉलिवूड ची धमाल आपल्या भाषेत..,not offensive,NULL,NULL
स्वप्न  यावर फुलपंखी चर्चा करतील. पण  लक्षात घ्या याच निवडक इलेक्ट्रॉनिक मीडियानं अक्कल गहाण ठेऊन लोकशाहीला अर्धन…,not offensive,NULL,NULL
मुख्यमंत्री जबाबदार पण प्रधानमंत्री खूप चांगलं काम करतोय  राज्यच तुलना दुसऱ्या राज्य बरोबर करायची प…,not offensive,NULL,NULL
१० वर्षा पासून रखडलेली शिक्षक भरती.शिक्षक लोकांनी डिग्री जाळून  उपोषण करून आंदोलन केली …,not offensive,NULL,NULL
रिया जेल मध्ये पोहचली  कंगना मुंबईत पोहचली...पण gdp आणि रोजगार कुठपर्यंत पोहचलाय? हे कुणीही सांगत नाही,not offensive,NULL,NULL
माझ्या सूत्रांकडून शोध सुरू आस्थाना  एक मुंबईचा बड्या…,not offensive,NULL,NULL
सर मोक्षगुंडम विश्वेश्वरैया  (भारतरत्न) डॉ.विश्वेश्वरय्या यांना अनेक विद्यापीठांच्या डी.लिट उपाध्या मिळाल्या होत्या…,not offensive,NULL,NULL
सरळ आणि सोपे,not offensive,NULL,NULL
पंखावरती ठेव विश्वास घे भरारी झोकात कळू दे त्या वेड्या आकाशाला तुझी खरी औकात  विश्वास नांगरे पाटील.,not offensive,NULL,NULL
मराठी भय्या ज्या देशाला राष्ट्रभाषा नाही   आणि राज्य हे भाषेच्या आधारावर आहे  त्यामळे आधी राज्यघटना वाच आणि त्याम…,not offensive,NULL,NULL
मी काय लोकप्रतिनिधी आहे का प्रश्न विचारायला? ज्यांना मतं दिल्यात त्यांना विचार. आणि केंद्र सरकारला…,not offensive,NULL,NULL
॥ जिथे विश्वास आहे तिथे श्रध्दा भाव आहे श्रध्दा भाव आहे तिथे भक्ती आहे भक्ती आहे तिथेच प्रेम आहे ॥ सद्गुरुंच्या वचणावर वि…,not offensive,NULL,NULL
१२ लाखाच्या कोथिंबिरीची जेवढी चर्चा होतेय तेवढीच दखल जर कवडीमोल जाणाऱ्या आणि उत्पादन खर्च पण न निघालेल्या शेतमालाची…,not offensive,NULL,NULL
कोरोनाच्या कॉलर ट्यूननंतर आता ह्या च्या जाहिरातीने त्रास सुरू केला आहे... जाहिरातींसाठी इतका पैसा मोजण्यापे…,not offensive,NULL,NULL
हो.. अश्या धरसोड राजकीय भूमिकेमुळेच अजून मतदारांचा विश्वास नाही संपादित करता आला.. हेच दु…,not offensive,NULL,NULL
प्रधानमंत्री नरेंद्र मोदी आज मधल्या पीएम स्वनिधी योजनेच्या लाभार्थी स्ट्रीट वेंडर्स शी व्हिडिओ कॉन्फरन्सिंगद्वा…,not offensive,NULL,NULL
तुझे माझे श्वास एक झाले दोघांचे प्राण एकमेकांत गुंफले होऊदे शेवट एकाचक्षणी राहुया आठवणीत एकत्र लोकांच्या मनी  हर्षद पोतदार…,not offensive,NULL,NULL
सावधान.  ipl सुरू झाल्यावर तुम्हाला सुशांत  रिया  कंगना आणि तो छोटासा कोरोना यांचा विसर पडू शकतो. अचूक बातमीसाठी…,not offensive,NULL,NULL
कंगणाच्या कार्यालयावर जेसीबी चालवून मुंबई महानगर पालिकेने आणि मुंबई पोलीस प्रशासनाने योग्य केले आहे. महाराष्ट्राचा …,not offensive,NULL,NULL
माणसाचा नको असलेला भाग दूर करायला शिका ह्याची सुरुवात स्वतःपासून करा. स्वतःला नको असलेला भाग कोणता तर ज्यापायी आपला आनंद  प्रग…,not offensive,NULL,NULL
तुझ्या हिश्श्याचं चांदणं अजून छतावर तसंच आहे आलीस कधी चुकून तर अंधाराला विकून जा.... कोपऱ्यात पडलेला चंद्र तेवढा जपून ठेव..…,not offensive,NULL,NULL
शरीरापेक्षा मनाचा थकवा खूप त्रासदायक असतो शरीर थकंल की शांत झोप लागते आणि मन थकलं की झोप उडते...... htt…,not offensive,NULL,NULL
हाय हिल्स स्त्रियांसाठी नव्हे  तर पुरुषांसाठी बनवल्या होत्या  विश्वास बसत नाहीये? हे वाचा,not offensive,NULL,NULL
२००४ साली वर्किंग फ्रॉम होम करून या माणसाने आपल्याला धंद्याला लावला  ),not offensive,NULL,NULL
कष्टाचं हास्य ते मागून मिळत नाही  ते कमवाव लागते. फोटो   व्हाट्सअप,not offensive,NULL,NULL
तो माझ्यात मैत्रीण शोधतोय आणि मी त्याची प्रेयसी बनण्याच्या प्रयत्नात. . दोघेही असफल या न संपणाऱ्या युद्धात. . .,not offensive,NULL,NULL
सर्वात लहान वयात प्रथम श्रेणी सामन्यात द्विशतक मारण्याचा विक्रम करणारा  ज्याच्या खेळाची प्रशंसा केली जाते अशा पंजाब व कोल…,not offensive,NULL,NULL
आपल्या कार्याद्वारे समाजसेवेचा वसा असाचं चालू ठेवेल   १५ सप्टेंबर १९८३ साली,not offensive,NULL,NULL
हा हा.. तो जो पक्ष आहे ज्याचं हे official account आहे त्याचेच अध्यक्ष…,not offensive,NULL,NULL
तुम्हालाही बोटं मोडायला मजा वाटते ना  पण ते चांगलं की वाईट? मग हे नक्की वाचा,not offensive,NULL,NULL
येताना काही आणायच नसतं  जाताना काही न्यायचं नसतं.... मग हे आयुष्य तरी कोणासाठी जगायचं असतं.... या प्रश्नाचे उत्तर शोध…,not offensive,NULL,NULL
राजसाहेब ठाकरे हे नेहमीच आपल्या माणसाला सजग करत असतात.  आज  काही महाभाग जागे झाले व म्हणत आहेत   सरकारी नो…,not offensive,NULL,NULL
नांदेड मधे 2016 साली मोठा पोलीस भर्ती घोटाळा झाला होता तो कसा झाला व कोन कोन जवाबदार होते याचा अभ्यास करने आवश्यक आ…,not offensive,NULL,NULL
अमेझॉन मराठी लोकांच्या अर्धीच संख्या असलेल्या तमिळ भाषेत आहे  पण मराठीत नाही  का? कारण आपली गणना हिंदी भाषिक म्हणून होते.,not offensive,NULL,NULL
मराठा आरक्षणाला स्थगिती ....  वेदना देणारा निर्णय ... न्याय व्यवस्थेवर प्रचंड विश्वास असणाऱ्या मराठा समाजावर आज अ…,not offensive,NULL,NULL
बोलताना काय बोलतोय कुणाबद्दल बोलतोय तारतम्य ठेवा..एकीकडे महाराज्यांचे गोडवे गाता आणि…,not offensive,NULL,NULL
डी.एड.चे शिक्षण घेऊनही ज्यांना नोकरी लागत नाही त्यांना सुध्दा शिक्षक दिनाच्या हार्दिक शुभेच्छा...,not offensive,NULL,NULL
ओठी हसू खुलले तरी डोळ्यात तो आनंद आता दिसत नाही... तुझ्याविना नकोस वाटत आयुष्य पण काळ संपता संपत नाही...,not offensive,NULL,NULL
बरोबर आहे पण सर्वच पक्षाचे नेते सारखेच नरेंद्र मोदींनीही 2017 साली शेतकरी विरोधी कायदा आणलाच न त्यामुळं ह्या सर्वच…,not offensive,NULL,NULL
हो झाली सोय... आत्ताच खाल्ला वडापाव.. आणि म्हणून मनसे गप्प आहे का…,not offensive,NULL,NULL
जशी दृष्टी तशी सृष्टी,not offensive,NULL,NULL
बारबाला .इटेलियन रांड,not offensive,NULL,NULL
अरे भडव्या काँग्रेसीनो तूम्ही् महाराष्ट्रातील जनतेला काय दिलं? दुप्पट लाईटबील. शिक्षक भरतीचं काय झालं?,not offensive,NULL,NULL
ipl चालू करा रे लवकर... आधीच कोरोना त्यात सुशांत  रिया आणि आता कंगना..,not offensive,NULL,NULL
माझा नवीन व्यवसाय... मलाई मावा पेढे..,not offensive,NULL,NULL
अरुणाचल येथून बेपत्ता झालेल पाच तरूण चीनमध्ये सापडले. केंद्रीयमंत्री किरेन रिजीजू यांनी ट्विटद्वारे दिली मा…,not offensive,NULL,NULL
अख्खी क्रिकेट मॅच खरच फिक्स होते का? हे नक्की वाचा...,not offensive,NULL,NULL
ज्या दिवशी जबाबदारीच ओझ खांद्यावर येत ना  त्या दिवसापासून रुसायचा आणि थकायचा अधिकार संपतो...,not offensive,NULL,NULL
किंवा करून शिक्षण सेवकांना नयाय द्यावे ही विनंती....,not offensive,NULL,NULL
महाराष्ट्र बाॅलीवुड मुक्त कधी होणार? जर बाॅलीवुड महाराष्ट्रात राहिला तर मराठी सिनेसृष्टी कधी समोर नाही जाणार  आता बाॅलीवु…,not offensive,NULL,NULL
सुमित जी    मराठी कलाकारांना सुद्धा थोडं सांगा,not offensive,NULL,NULL
सावित्रीबाई फुले पुणे विद्यापीठासोबत इतर विद्यापीठांच्या एमसीक्यू बेस्ड परीक्षा ऑफलाइन आणि ऑनलाइन अशा दोन्ही पर्यायांनी…,not offensive,NULL,NULL
ती ची जाहिरात पाहून मी इतका प्रभावीत झालोय की... उद्याच ऑफीसला जाऊन  माझा नंबर मध्ये करतो.,not offensive,NULL,NULL
या देशातील खेळाडूंना आयपीएलमधील एका तरी सामन्याला लागणार मुकावे  जाणून घ्या कारण,not offensive,NULL,NULL
अरे यार.  आपण इकडे csk  mi  rcb करत राहिलो  आणि तिकडे ने २ वर्षात ipl ची स्पॉन्सर्सशिप विकत घेतली तब्बल २२२कोटी…,not offensive,NULL,NULL
जावयाला ६७ पदार्थांचं ताट वाढून तृप्त करणारी सासू  वाचा यामागची खरी गोष्ट,not offensive,NULL,NULL
सुंदर चेहरा फक्त आकर्षित करू शकतो. पण प्रेम करायला सुंदर मनं च लागत. सुंदर मनं वेड लावतं. मनाने सुंदर असलेली व्य…,not offensive,NULL,NULL
ज्यानला महाराष्ट्र च राजकारण समजत त्यांला हे नक्की माहिती असेल.  पॉवर  च खूप मोठं योगदान आहे. जिथे  पॉवर  असेल तिथे…,not offensive,NULL,NULL
आज ४१ वर्षांपूर्वी सिनेमाच्या इतिहासात सिंहासनच्या निमिताने एक सुवर्ण अध्याय लिहिला गेला होता. १९७९ सालचा…,not offensive,NULL,NULL
बेकायदा ऑफिस तोडलं आहे कंगनाचं आणि चवताळलेत खाल्या मिठाला तरी जागा रे डुप्लिकेट बिहाऱ्यांनो. जय…,not offensive,NULL,NULL
ही 1930 साली जपान मध्ये घडलेली सत्य घटना आहे आणि त्या hachi म्हणजे डॉग चा पुतळा shibuya रेल्वे स्टेशन परिसरात आहे,not offensive,NULL,NULL
1962 चे चीनचे सैन्य आणि आजचे यात मोठा गुणात्मक फरक आहे.1962 साली भारताबरोबर युद्ध करणारं चीनी सैन्य हे माओच्या सा…,not offensive,NULL,NULL
माणूस सुधारला हे केव्हा समजायचं? जेव्हा तो जात आणि पावसात भिजून केलेली भाषणे यांना मतदानाचे निकष मानणे बंद…,not offensive,NULL,NULL
हे असले लोक काहीतरी दैवी देणगी घेऊन येतात  काय काय लिहून जातात  शब्दशब्दात भावना ओतप्रोत भरलेल्या  इथे…,not offensive,NULL,NULL
दादासाहेब फाळके असे त्यांच नाव आहे... काहीही नावं लिहुन कोणाचा अपमान करु नये... म्हणे मी मराठा महारा…,not offensive,NULL,NULL
सीमा सुरक्षा दलाने (बीएसएफ) राजस्थानमधील श्रीगंगानगरजवळ दोन तस्करांना गोळ्या घालून ठार केले. ठार घुसखोरांकडून श…,not offensive,NULL,NULL
भाषेची गळचेपी सहन करणार नाही.. तसेच आघात सहन करणार नाही. जो मराठी भाषेसाठी आणि हिंदू धर्मासाठी दो…,not offensive,NULL,NULL
भाजपा असेल किंवा केंद्र सरकार असेल यांच्या  डांगीत  खरंच दम असेल तर असे ममता बॅनर्जी यांच्या राज्यात cbi पाठवून दाख…,not offensive,NULL,NULL
कंगणाच्या कार्यालयावर जेसीबी चालवून मुंबई महानगर पालिकेने आणि मुंबई पोलीस प्रशासनाने योग्य केले आहे. महाराष्ट्राचा  मुंबई…,not offensive,NULL,NULL
चांगल्या व्यक्तीचे गुण बघण्यापेक्षा लोक अवगुण च बघतात..,not offensive,NULL,NULL
कोल्हापूरच्या पन्हाळा तालुक्यातील काही भागात झालेला ढगफुटी सदृश्य पाऊस  २ तास झालेल्या पावसानं मोठं नुकसान झालंय …,not offensive,NULL,NULL
मरण हा शब्द खूप जवळचा वाटतो पण समोर आल्यावर जगायचा ध्यास लागतो.. . . .,not offensive,NULL,NULL
कोण आहे तुमचा आवडता?,not offensive,NULL,NULL
भारत इस्रायल संबंधांचा  आपल्याला सांगितला नं जाणारा  महत्वपूर्ण इतिहास,not offensive,NULL,NULL
sushant बिहार चा riya कर्नाटक ची kangana हिमाचल प्रदेश ची आणि भांडण महाराष्ट्रात,not offensive,NULL,NULL
हे महाशय निवडूनच आले आहेत ना का उचलून आणले आहे ह्यांना सलग दुसऱ्या वर्षी 13 वा नंबर आला आहे जी मागच्या पंच…,not offensive,NULL,NULL
टाटा प्रोजेक्ट्सने नवीन संसद भवन बांधण्यासाठी बोली जिंकली टाटा प्रोजेक्ट्सची बोली 862 कोटी रुपये होती…,not offensive,NULL,NULL
खोटं सहज विकलं. जातं कारण सत्य विकत घेण्याची प्रत्येकाची ऐपत नसते   मनाला     वाटेल   ते करा पण   मनाला     लागेल…,not offensive,NULL,NULL
🤣🤣🤣🤣भक्त ओ भक्त त्या वाघ चीं संगत ख़रच तुम्हाला भारी पड़ली आहे... भक्ता चे लॉजीक तुम…,not offensive,NULL,NULL
पंजाबमधील सीमेवर लढत असलेला जवान वर्षभर तिकडे असतो .त्याला इकडे मुलगा झाल्याचे तार करून कळविले जाते मग तो…,not offensive,NULL,NULL
विद्यापीठांच्या अंतिम वर्षाच्या परीक्षा रद्द करण्यासाठी जसा संघटनांनी पुढाकार घेतला तसा  या विद्यार्थ्यांना चांगला…,not offensive,NULL,NULL
तुमच्या दमदार खासदारला मराठीत बोलायला सांगा. हिंदी बोलायची अ…,not offensive,NULL,NULL
